score_id	set_id	difficulty	tags
4904021	4910391	1	art-song,classical,german,love,romantic,seasons,song-cycle,piano
5004701	4910391	2	art-song,classical,german,love,romantic,seasons,song-cycle,piano
5667849	4910391	2	art-song,classical,german,romantic,song-cycle,piano
5098672	4910391	1	art-song,classical,german,romantic,song-cycle,piano
5098678	4910391	2	art-song,classical,german,romantic,song-cycle,piano
5636215	5067697	2	art-song,classical,german,romantic,song-cycle,piano
5067692	5067697	1	art-song,classical,german,romantic,seasons,song-cycle,piano
5098700	5067697	2	art-song,classical,german,romantic,song-cycle,piano
5098690	5067697	2	art-song,classical,german,romantic,song-cycle,piano
5098732	5067697	2	art-song,classical,german,romantic,song-cycle,piano
5639135	5067697	3	art-song,classical,german,romantic,song-cycle,piano
5649214	5096870	3	art-song,classical,german,love,romantic,song-cycle,piano
5652206	5096870	2	art-song,classical,german,romantic,song-cycle,piano
5652250	5096870	1	art-song,classical,german,romantic,song-cycle,piano
5098632	5096870	1	art-song,classical,folk,german,romantic,song-cycle,piano
5098625	5096870	1	art-song,classical,german,romantic,song-cycle,piano
5653497	5096870	3	art-song,classical,german,romantic,song-cycle,piano
5705406	5013857	1	art-song,classical,german,love,romantic,song-cycle,piano
5071622	5013857	1	art-song,classical,german,romantic,song-cycle,piano
4946239	5013857	2	art-song,classical,german,romantic,song-cycle,piano
5705564	5013857	2	art-song,classical,german,love,romantic,song-cycle,piano
5071629	5013857	1	art-song,classical,german,romantic,song-cycle,piano
5705502	5013857	1	art-song,classical,german,romantic,song-cycle,piano
5071636	5013857	2	art-song,classical,german,romantic,song-cycle,piano
5695716	5096871	1	art-song,classical,german,romantic,song-cycle,piano
5695728	5096871	1	art-song,classical,german,romantic,song-cycle,piano
5695734	5096871	2	art-song,classical,german,romantic,song-cycle,piano
5725144	5096871	1	art-song,classical,german,romantic,song-cycle,piano
5726490	5096871	3	art-song,classical,german,romantic,song-cycle,piano
5098666	5096871	1	art-song,classical,german,romantic,song-cycle,piano
5729178	5096871	1	art-song,classical,german,romantic,serenade,song-cycle,piano
5729860	5096871	1	art-song,classical,german,romantic,song-cycle,piano
5106861	5033060	3	art-song,classical,german,romantic,song-cycle,piano
5107106	5033060	1	art-song,classical,german,romantic,song-cycle,piano
5071686	5033060	2	art-song,classical,german,romantic,song-cycle,piano
5033057	5033060	2	art-song,classical,german,romantic,song-cycle,piano
5071689	5033060	2	art-song,classical,german,romantic,song-cycle,piano
5071694	5033060	2	art-song,classical,german,romantic,song-cycle,piano
5071678	5033060	3	art-song,classical,german,romantic,song-cycle,piano
5155459	5033060	3	art-song,classical,german,romantic,song-cycle,piano
5123355	5071706	3	art-song,classical,german,romantic,song-cycle,piano
5098725	5071706	2	art-song,classical,german,romantic,song-cycle,piano
5071703	5071706	3	art-song,classical,german,romantic,song-cycle,piano
5098705	5071706	3	art-song,classical,german,romantic,song-cycle,piano
5098709	5071706	2	art-song,classical,german,romantic,song-cycle,piano
5098685	5071706	1	art-song,classical,german,romantic,song-cycle,piano
5098719	5071706	2	art-song,classical,german,romantic,song-cycle,piano
5098715	5071706	2	art-song,classical,german,romantic,serenade,song-cycle,piano
5057822	5032872	2	art-song,classical,german,romantic,song-cycle,piano
5057985	5032872	2	art-song,classical,german,romantic,sea-and-water,song-cycle,piano
5058091	5032872	2	art-song,classical,german,romantic,song-cycle,piano
